aaa	工
jms	帅哥
jmt	映射
jmu	蝄
jmv	 
jmw	蚋
jmx	 
jmy	蛽
jna	电工
jnb	电子
jnc	电台
jnd	电压
jne	电脑
jnf	电动
jng	蛡
jnh	暇
jni	电源
jnj	电影
jnk	电路
jnl	电车
jnm	电网
jnn	虬
jno	电灯
jnp	遢
jnq	电解
jnr	电气
jns	电机
jnt	昵称
jnu	电站
jnv	电
jnw	曜
jnx	昵
jny	电话
joa	显著
job	显出
joc	昿
jod	 
joe	 
jof	显示
jog	显
joh	显眼
joi	最广泛
joj	易燃易爆
jok	 
jol	 
jom	 
jon	电业局
joo	晱
jop	 
joq	显然
jor	果断措施
jos	䗫
jot	旷
jou	炅
jov	蝼
jow	 
jox	 
joy	炚
jpa	电视节目
jpb	紧密联系
jpc	电视台
jpd	坚定不移地
jpe	 
jpf	坚定地
jpg	暄
jph	电视频道
jpi	电视小品
jpj	螟
jpk	最宝贵的
jpl	晕
jpm	坚守岗位
jpn	电视剧
jpo	电视广告
jpp	 
jpq	蜿
jpr	坚实的
jps	电视机
jpt	鉴定委员会
jpu	监察部
jpv	晏
jpw	鉴定会
jpx	蛇
jpy	电视讲话
jqa	晚期
jqb	昂
jqc	紧急通知
jqd	蟾
jqe	易用
jqf	易地
jqg	易于
jqh	晚上
jqi	晁
jqj	明争暗斗
jqk	晚
jql	蜔
jqm	日久见人心
jqn	易懂
jqo	易燃
jqp	紧锣密鼓
jqq	晚饭
jqr	易
jqs	冒名顶替
jqt	昴
jqu	昀
jqv	紧急召开
jqw	歇
jqx	 
jqy	晚熟
jra	 
jrb	蝬
jrc	最后通牒
jrd	坚持不懈
jre	最后胜利
jrf	坚持真理
jrg	蝗
jrh	昕
jri	蛛
jrj	 
jrk	 
jrl	坚持四项基本原则
jrm	㫼
jrn	紧迫性
jro	 
jrp	坚持实行
jrq	螝
jrr	最后指出
jrs	坚持标准
jrt	蜱
jru	紧接着
jrv	 
jrw	电气化
jrx	最后强调
jry	曒
jsa	 
jsb	果子
jsc	 
jsd	颗
jse	褁
jsf	螵
jsg	晒
jsh	虰
jsi	果
jsj	明枪暗箭
jsk	蚵
jsl	果园
jsm	 
jsn	果敢
jso	果断
jsp	果实
jsq	夥
jsr	晰
jss	果树
jst	㪙
jsu	杲
jsv	 
jsw	显要位置
jsx	归根结底
jsy	蚞
jta	星期
jtb	星际
jtc	暗箭难防
jtd	蜂
jte	日积月累
jtf	蚝
jtg	星
jth	昨
jti	监测
jtj	蝮
jtk	鉴别
jtl	临界
jtm	晌
jtn	虼
jto	蟠
jtp	鉴定
jtq	监狱
jtr	蛾
jts	最重要的
jtt	监管
jtu	蝌
jtv	蜲
jtw	星体
jtx	晦
jty	临
jua	暗藏
jub	蝉联
juc	 
jud	蜷
jue	日新月异
juf	昱
jug	曦
juh	日益频繁
jui	日益激烈的
juj	暗
juk	蜕
jul	蝉
jum	 
jun	时间性
juo	䗒
jup	日益突出
juq	蠀
jur	最新的
jus	蝤
jut	电冰箱
juu	时间差
juv	螊
juw	照单全收
jux	坚决贯彻
juy	蜕变
jva	蟳
jvb	旯
jvc	蝍
jvd	照顾
jve	照办
jvf	妟
jvg	归
jvh	照旧
jvi	照常
jvj	照明
jvk	照
jvl	归国
jvm	 
jvn	归属
jvo	照应
jvp	归宿
jvq	 
jvr	最好的
jvs	照相
jvt	旫
jvu	照章
jvv	 
jvw	归侨
jvx	归纳
jvy	照亮
jwa	蚮
jwb	冒风险
jwc	蚣
jwd	最伟大的
jwe	昣
jwf	暴风雪
jwg	蛤
jwh	最低点
jwi	㬰
jwj	蚧
jwk	㫟
jwl	 
jwm	 
jwn	虮
jwo	时代精神
jwp	 
jwq	 
jwr	时代气息
jws	 
jwt	晶体管
jwu	时代背景
jwv	昐
jww	最低价
jwx	晔
jwy	晗
jxa	紧张工作
jxb	㫐
jxc	蛛丝马迹
jxd	坚强有力
jxe	曳
jxf	䗰
jxg	最强烈的
jxh	蚓
jxi	最经济
jxj	昆明
jxk	 
jxl	 
jxm	昆山
jxn	紧张局势
jxo	 
jxp	最终实现
jxq	螺丝钉
jxr	日经指数
jxs	 
jxt	曏
jxu	紧张状况
jxv	 
jxw	昆仑
jxx	昆
jxy	归结为
jya	景区
jyb	是为了
jyc	景观
jyd	ア
jye	电话采访
jyf	申请专利
jyg	蛀
jyh	景点
jyi	あ
jyj	蛴
jyk	影
jyl	蟺
jym	电话网
jyn	蝙
jyo	影迷
jyp	影视
jyq	景象
jyr	蚁
jys	℡
jyt	昉
jyu	旻
jyv	螂
jyw	蛟
jyx	蟀
jyy	蚊
kaa	中医药
kab	中医院
kac	 
kad	嘶
kae	口若悬河
kaf	咁
kag	叿
kah	呀
kai	中医学
kaj	噶
kak	嘞
kal	喵
kam	咂
kan	呓
kao	 
kap	唠
kaq	噶尔
kar	哎
kas	呆若木鸡
kat	哓
kau	中共北京市委
kav	 
kaw	哄
kax	跨世纪
kay	嚆
kba	 
kbb	听取了
kbc	嗫
kbd	 
kbe	唨
kbf	咠
kbg	吇
kbh	叩
kbi	听取汇报
kbj	 
kbk	吼叫
kbl	 
kbm	咄
kbn	吼
kbo	吸烟
kbp	 
kbq	口出狂言
kbr	吸热
kbs	啊
kbt	 
kbu	中联部
kbv	 
kbw	 
kbx	戢
kby	吸
kca	 
kcb	邑
kcc	嗓
kcd	 
kce	嗵
kcf	 
kcg	吗
kch	 
kci	 
kcj	只能是
kck	咍
kcl	 
kcm	 
kcn	吧
kco	㘐
kcp	患难之交
kcq	吮
kcr	 
kcs	 
kct	唉
kcu	嗓门
kcv	 
kcw	唆
kcx	 
kcy	叹
kda	咗
kdb	呃
kdc	吰
kdd	听而不闻
kde	呖
kdf	喹
kdg	咕
kdh	嘎
kdi	吃不消
kdj	喱
kdk	喊叫
kdl	吴邦国
kdm	顺
kdn	顺心
kdo	咴
kdp	哒
kdq	吃大锅饭
kdr	顺手
kds	 
kdt	顺利
kdu	嘹
kdv	 
kdw	唪
kdx	咙
kdy	吠
kea	哺乳期
keb	哹
kec	㖬
ked	另有
kee	另加
kef	肙
keg	咀
keh	嗖
kei	口服液
kej	别
kek	咖
kel	嚼
kem	 
ken	口服心服
keo	哺乳类
kep	嗳
keq	鹃
ker	另
kes	别样
ket	叻
keu	 
kev	哸
kew	别人
kex	嗘
key	别说
kfa	喷
kfb	叶子
kfc	吱
kfd	嚅
kfe	 
kff	哇
kfg	吐
kfh	叶
kfi	味
kfj	嘲
kfk	嘻
kfl	鄙
kfm	喃
kfn	喷发
kfo	哧
kfp	嗦
kfq	呒
kfr	中老年
kfs	中直机关
kft	嗜
kfu	味道
kfv	嗜好
kfw	呋
kfx	 
kfy	嘲讽
kga	咞
kgb	吨
kgc	唯一能够
kgd	吴
kge	哺
kgf	呈
kgg	㕵
kgh	吓
kgi	中下游
kgj	哽
kgk	嗽
kgl	吃一堑长一智
kgm	嘈
kgn	号
kgo	哑
kgp	逞
kgq	咧
kgr	唯一的
kgs	吴桥
kgt	唛
kgu	另一部分
kgv	号召
kgw	吨位
kgx	咦
kgy	另一方面
kha	距
khb	蹑
khc	踊
khd	跨
khe	踩
khf	践
khg	贵
khh	趾
khi	踏
khj	踢
khk	中
khl	盅
khm	蹦
khn	忠
kho	踱
khp	踪
khq	跑
khr	跌
khs	︵
kht	跃
khu	足
khv	跟
khw	趴
khx	嘴
khy	卟
kia	 
kib	 
kic	 
kid	川流不息
kie	哨
kif	中小城市
kig	咣
kih	啵
kii	中小学
kij	吃水果
kik	唢呐
kil	 
kim	唢
kin	 
kio	 
kip	嘡
kiq	 
kir	哨所
kis	吵醒
kit	吵
kiu	品学兼优
kiv	 
kiw	中小企业
kix	 
kiy	 
kja	嚗
kjb	嘬
kjc	唱戏
kjd	 
kje	喝彩
kjf	哩
kjg	呾
kjh	呻
kji	喝酒
kjj	唱
kjk	呻吟
kjl	嗢
kjm	喁
kjn	黾
kjo	 
kjp	 
kjq	喝
kjr	吃里爬外
kjs	唱歌
kjt	唱片
kju	虽
kjv	 
kjw	 
kjx	㖂
kjy	虽说
kka	噐
kkb	口子
kkc	骂
kkd	器
kke	口腔
kkf	吕
kkg	吅
kkh	串
kki	品尝
kkj	丳
kkk	品
kkl	鼍
kkm	口岸
kkn	品性
kko	口粮
kkp	器官
kkq	品名
kkr	品质
kks	器材
kkt	品种
kku	噪音
kkv	咆哮如雷
kkw	咒
kkx	嚣张
kky	口语
kla	中国共产党
klb	中国队
klc	中国通
kld	咽
kle	喟
klf	嘿
klg	喂
klh	呷
kli	中国海洋石油总公司
klj	中国电信
klk	咽喉
kll	中国软件行业协会
klm	中国内政
kln	中国民航
klo	中国烟草总公司
klp	中国社会科学院
klq	中国银行
klr	中国的
kls	中国核工业总公司
klt	中国科学院
klu	喂养
klv	中国妇女
klw	中国人
klx	中国红十字会
kly	中国文化
kma	嗣
kmb	郧
kmc	中央预算
kmd	喘
kme	勋
kmf	啁
kmg	哃
kmh	吊
kmi	中央党校
kmj	中央电视台
kmk	路由器
kml	中央国家机关
kmm	嘤
kmn	中央书记处
kmo	中央精神
kmp	中央军委
kmq	哕
kmr	中央的
kms	中央机关
kmt	中央委员会
kmu	员
kmv	 
kmw	呐
kmx	中央纪委
kmy	呗
kna	中心区
knb	忠心耿耿
knc	哪能
knd	啹
kne	 
knf	中心城市
kng	哪
knh	叫
kni	呕心沥血
knj	哪里
knk	噼
knl	中心思想
knm	唰
knn	哪怕
kno	叫座
knp	 
knq	哪儿
knr	遗憾的是
kns	 
knt	嘱
knu	跃居首位
knv	叫好
knw	哪个
knx	呢
kny	吣
koa	喥
kob	顺应了
koc	 
kod	 
koe	 
kof	 
kog	噗
koh	㖢
koi	顺应潮流
koj	 
kok	 
kol	 
kom	 
kon	 
koo	啖
kop	中庸之道
koq	噒
kor	 
kos	嘛
kot	 
kou	 
kov	喽
kow	 
kox	 
koy	咪
kpa	噻
kpb	 
kpc	 
kpd	喧宾夺主
kpe	哝
kpf	唍
kpg	喧
kph	 
kpi	 
kpj	 
kpk	喧嚣
kpl	喗
kpm	 
kpn	嘧
kpo	 
kpp	 
kpq	啘
kpr	 
kps	咛
kpt	喀
kpu	中宣部
kpv	咹
kpw	嚓
kpx	咜
kpy	 
kqa	呧
kqb	兄
kqc	中外观众
kqd	另外还有
kqe	唃
kqf	唤起
kqg	噜
kqh	 
kqi	哈尔滨
kqj	咰
kqk	吹嘘
kql	 
kqm	唤
kqn	呜
kqo	 
kqp	吃饱穿暖
kqq	哆
kqr	吻
kqs	唤醒
kqt	吐鲁番
kqu	兄弟
kqv	兄妹
kqw	吹
kqx	跃然纸上
kqy	鸣
kra	唣
krb	听取
krc	呱
krd	唏
kre	哌
krf	品质超群
krg	㕷
krh	听
kri	史
krj	 
krk	蹑手蹑脚
krl	 
krm	史册
krn	史书
kro	史料
krp	史实
krq	啲
krr	啪
krs	唾手可得
krt	啤
kru	啦
krv	 
krw	听众
krx	喞
kry	听说
ksa	中西医结合
ksb	 
ksc	只要能
ksd	喖
kse	 
ksf	嘌
ksg	哂
ksh	叮
ksi	呆滞
ksj	喳
ksk	呵
ksl	㘄
ksm	呆帐
ksn	 
kso	 
ksp	中枢神经
ksq	 
ksr	唽
kss	噤
kst	 
ksu	呆
ksv	喓
ksw	唻
ksx	 
ksy	㕲
kta	噬
ktb	中科院
ktc	另行通知
ktd	哭笑不得
kte	吃力
ktf	唾
ktg	跻身于
kth	咱
kti	呼和浩特
ktj	吃紧
ktk	咯
ktl	囖
ktm	响
ktn	吃
kto	啾
ktp	顺利完成
ktq	叶利钦
ktr	哦
kts	呼机
ktt	响彻
ktu	呼
ktv	唩
ktw	咱们
ktx	啼笑皆非
kty	呚
kua	 
kub	嗍
kuc	 
kud	中美三个联合公报
kue	㗴
kuf	呌
kug	嗟
kuh	吖
kui	中美洲
kuj	噫
kuk	哾
kul	噌
kum	 
kun	中间层
kuo	 
kup	口头禅
kuq	嚪
kur	 
kus	中关村
kut	兄弟般
kuu	中美关系
kuv	唼
kuw	嗌
kux	嗞
kuy	品头论足
kva	噚
kvb	 
kvc	唧
kvd	嗜好成癖
kve	哏
kvf	㖊
kvg	㖀
kvh	嚍
kvi	啸
kvj	 
kvk	嗈
kvl	 
kvm	 
kvn	㕤
kvo	嘨
kvp	唚
kvq	 
kvr	叧
kvs	 
kvt	叨
kvu	 
kvv	 
kvw	䬭
kvx	 
kvy	 
kwa	遗传工程
kwb	呛
kwc	嗡
kwd	只有
kwe	只用
kwf	啥
kwg	哈
kwh	只占
kwi	遗传学
kwj	只是
kwk	哈哈
kwl	只因
kwm	只见
kwn	叽
kwo	 
kwp	哈密
kwq	中华儿女
kwr	嗲
kws	咻
kwt	只得
kwu	只
kwv	吩
kww	唑
kwx	哗
kwy	叭
kxa	 
kxb	吸引了
kxc	 
kxd	 
kxe	呦
kxf	 
kxg	喙
kxh	吲
kxi	中级法院
kxj	咈
kxk	中继器
kxl	 
kxm	㖰
kxn	叱
kxo	 
kxp	 
kxq	哟
kxr	嚣张气焰
kxs	 
kxt	中纪委
kxu	中组部
kxv	 
kxw	吸引人
kxx	哔
kxy	吆
kya	咬牙
kyb	唁函
kyc	唷
kyd	 
kye	 
kyf	忠诚老实
kyg	唁
kyh	 
kyi	贵州省
kyj	哜
kyk	嚷
kyl	中文输入
kym	中文网站
kyn	咳
kyo	 
kyp	 
kyq	唱主角
kyr	趾高气扬
kys	中高档
kyt	㕫
kyu	啼
kyv	啷
kyw	吭
kyx	中高级
kyy	呅
laa	轼
lab	斩草除根
lac	 
lad	䡳
lae	 
laf	黔东南
lag	国共两党
lah	轞
lai	罪孽深重
laj	羃
lak	㘟
lal	䡸
lam	置若罔闻
lan	 
lao	轻工业
lap	国营农场
laq	固若金汤
lar	羁押
las	 
lat	 
lau	轻工部
lav	 
law	国营企业
lax	羁绊
lay	国营商业
lba	国防工业
lbb	国际联网
lbc	男子双打
lbd	囝
lbe	国际舆论
lbf	国际地位
lbg	国际互联网
lbh	国际上
lbi	国际水平
lbj	国际影响
lbk	 
lbl	国际国内
lbm	国际周
lbn	辄
lbo	团队精神
lbp	国际社会
lbq	国际贸易
lbr	国际舞台
lbs	国际标准
lbt	国际先进水平
lbu	国际竞争
lbv	国防建设
lbw	墼
lbx	国际组织
lby	国际市场
lca	轻
lcb	轻取
lcc	轰
lcd	Α
lce	㔥
lcf	轰动
lcg	轻型
lch	 
lci	囜
lcj	轻易
lck	轰鸣
lcl	轻轨
lcm	轻则
lcn	罗马尼亚
lco	轰炸
lcp	轻视
lcq	㽙
lcr	 
lcs	轻松
lct	困难重重
lcu	 
lcv	 
lcw	轻便
lcx	轻纺
lcy	困难户
lda	因其
ldb	轭
ldc	軷
ldd	固
lde	囿
ldf	罟
ldg	轱
ldh	罘
ldi	因
ldj	罨
ldk	 
ldl	 
ldm	恩赐
ldn	恩
ldo	罪有应得
ldp	固定
ldq	固然
ldr	较大的
lds	畸
ldt	畴
ldu	国有资产
ldv	 
ldw	辏
ldx	国有经济
ldy	軑
lea	男式
leb	男子
lec	男双
led	男朋友
lee	㘞
lef	胃
leg	䢁
leh	 
lei	 
lej	 
lek	胃口
lel	男团
lem	 
len	男性
leo	 
lep	 
leq	男儿
ler	男
les	 
let	㽖
leu	男单
lev	嬲
lew	男人
lex	 
ley	男方
lfa	园区
lfb	罢了
lfc	罢
lfd	转达
lfe	转用
lff	畦
lfg	置于
lfh	轩
lfi	団
lfj	䍐
lfk	辕
lfl	默默
lfm	罱
lfn	转
lfo	黑
lfp	黑客
lfq	园
lfr	转换
lfs	围棋
lft	署
lfu	圉
lfv	围剿
lfw	转化
lfx	围绕
lfy	转变
lga	国营
lgb	囤
lgc	轾
lgd	囯
lge	辅
lgf	国土
lgg	軖
lgh	罡
lgi	车流
lgj	畀
lgk	辐
lgl	车辆
lgm	辆
lgn	车
lgo	国庆
lgp	国家
lgq	国外
lgr	国手
lgs	国歌
lgt	辐射
lgu	国产
lgv	輺
lgw	国会
lgx	 
lgy	国
lha	䡾
lhb	 
lhc	四通
lhd	罪
lhe	四月
lhf	四十
lhg	四万
lhh	 
lhi	四海
lhj	罩
lhk	㐃
lhl	 
lhm	四周
lhn	甲
lho	 
lhp	罪案
lhq	罪犯
lhr	 
lhs	甲板
lht	四处
lhu	罩着
lhv	 
lhw	四化
lhx	甲级
lhy	四方
lia	 
lib	 
lic	车水马龙
lid	圆满成功
lie	輎
lif	罚没款
lig	輄
lih	 
lii	囦
lij	㘤
lik	 
lil	 
lim	 
lin	〇
lio	 
lip	圆满完成
liq	圆满解决
lir	因小失大
lis	固沙林
lit	输油管
liu	眔
liv	 
liw	䳴
lix	圆满结束
liy	轻举妄动
lja	罼
ljb	 
ljc	 
ljd	 
lje	 
ljf	 
ljg	连日来
ljh	 
lji	 
ljj	 
ljk	 
ljl	圆明园
ljm	 
ljn	 
ljo	 
ljp	回归祖国
ljq	輵
ljr	 
ljs	輠
ljt	 
lju	因果关系
ljv	 
ljw	 
ljx	辊
ljy	 
lka	回落
lkb	辑
lkc	 
lkd	回
lke	罥
lkf	軎
lkg	回到
lkh	甽
lki	四川省
lkj	回归
lkk	回路
lkl	回国
lkm	圆
lkn	回收
lko	回应
lkp	回家
lkq	軦
lkr	回报
lks	圆柱
lkt	回答
lku	回头
lkv	 
lkw	轵
lkx	回乡
lky	回族
lla	 
llb	田联
llc	 
lld	䍛
lle	 
llf	畕
llg	圜
llh	䡛
lli	 
llj	田野
llk	㘡
lll	田
llm	 
lln	逻辑性
llo	 
llp	轋
llq	 
llr	逻辑推理
lls	田林
llt	田径
llu	田间
llv	男男女女
llw	田园风光
llx	 
lly	转轨变型
lma	 
lmb	轴承
lmc	 
lmd	Α
lme	 
lmf	男同志
lmg	轴
lmh	軕
lmi	 
lmj	 
lmk	 
lml	 
lmm	 
lmn	轴心
lmo	 
lmp	 
lmq	国内外
lmr	 
lms	 
lmt	国内先进水平
lmu	辋
lmv	 
lmw	軜
lmx	α
lmy	国内市场
lna	辗
lnb	轏
lnc	罹难
lnd	国民大会
lne	 
lnf	思考
lng	翈
lnh	思虑
lni	国民党
lnj	思量
lnk	思路
lnl	辗转
lnm	 
lnn	轧
lno	 
lnp	图书室
lnq	图书馆
lnr	轧制
lns	思想
lnt	国民生产总值
lnu	思
lnv	回忆录
lnw	罹
lnx	国民经济
lny	国民议会
loa	国庆节
lob	 
loc	 
lod	软磨硬泡
loe	 
lof	转业干部
log	轐
loh	黑灯瞎火
loi	 
loj	国庆日
lok	 
lol	 
lom	 
lon	辘
loo	 
lop	转业军人
loq	辚
lor	 
los	 
lot	 
lou	䍘
lov	 
low	 
lox	 
loy	 
lpa	辖区
lpb	国家队
lpc	连通
lpd	辖
lpe	连胜
lpf	国家教委
lpg	国家环保局
lph	輨
lpi	国家法
lpj	连日
lpk	连
lpl	连连
lpm	国家财政
lpn	国家民委
lpo	置之度外
lpp	国家安全
lpq	畹
lpr	连接
lps	国家标准
lpt	国家科委
lpu	固定资产
lpv	国家建设
lpw	国家体委
lpx	连续
lpy	国家计委
lqa	软卧
lqb	 
lqc	罗马
lqd	轩然大波
lqe	輡
lqf	罗干
lqg	罗列
lqh	 
lqi	罗汉
lqj	蜀
lqk	軥
lql	逻辑
lqm	罗山
lqn	軳
lqo	连锁店
lqp	逻
lqq	罗甸
lqr	囫
lqs	 
lqt	软盘
lqu	罗
lqv	 
lqw	软
lqx	软弱
lqy	鸭
lra	团的工作
lrb	䍟
lrc	畈
lrd	暂不
lre	暂且
lrf	堑
lrg	轶事
lrh	斩
lri	轻描淡写
lrj	暂
lrk	蹔
lrl	轻手轻脚
lrm	圆舞曲
lrn	固执己见
lro	 
lrp	罪魁祸首
lrq	錾
lrr	㨻
lrs	椠
lrt	暂行
lru	转折关头
lrv	㜞
lrw	轶
lrx	转换经营机制
lry	 
lsa	困惑
lsb	 
lsc	困难
lsd	思想感情
lse	 
lsf	困境
lsg	思想政治工作
lsh	町
lsi	困
lsj	甼
lsk	轲
lsl	 
lsm	 
lsn	 
lso	 
lsp	思想家
lsq	思想包袱
lsr	困扰
lss	墨西哥
lst	 
lsu	䍒
lsv	思想建设
lsw	思想作风
lsx	思想统一
lsy	思想认识
lta	 
ltb	国务院
ltc	辐射能
ltd	轿
lte	略加
ltf	暂行规定
ltg	图形
lth	䡻
lti	囷
ltj	图景
ltk	略
ltl	轿车
ltm	因特网
ltn	轹
lto	四季度
ltp	图案
ltq	图象
ltr	男选手
lts	图板
ltt	图片
ltu	图
ltv	恩重如山
ltw	图像
ltx	图纸
lty	畋
lua	軿
lub	圈子
luc	 
lud	圈
lue	䡵
luf	 
lug	畔
luh	轻装上阵
lui	 
luj	疃
luk	回头路
lul	罾
lum	 
lun	 
luo	 
lup	 
luq	 
lur	図
lus	思前想后
lut	田间管理
luu	轻装前进
luv	男尊女卑
luw	国产化
lux	罤
luy	车间主任
lva	 
lvb	男女队
lvc	男女双方
lvd	囡
lve	 
lvf	㚻
lvg	男女平等
lvh	 
lvi	 
lvj	罺
lvk	轺
lvl	辎
lvm	 
lvn	轨
lvo	 
lvp	遱
lvq	 
lvr	 
lvs	 
lvt	氀
lvu	轨道
lvv	 
lvw	鷜
lvx	 
lvy	轫
lwa	轮式
lwb	输出
lwc	轮台
lwd	界面
lwe	轸
lwf	囶
lwg	输
lwh	 
lwi	囚
lwj	界
lwk	软件中心
lwl	轮回
lwm	 
lwn	䡄
lwo	软件业
lwp	界定
lwq	软件包
lwr	软件技术
lws	轮椅
lwt	输入
lwu	软件产品
lwv	四化建设
lww	软件企业
lwx	轮
lwy	㽗
lxa	 
lxb	甲级队
lxc	思维能力
lxd	团结奋斗
lxe	累加
lxf	团结协作
lxg	团结一致
lxh	羄
lxi	累
lxj	 
lxk	羂
lxl	累累
lxm	 
lxn	连续性
lxo	 
lxp	 
lxq	墨绿色
lxr	 
lxs	 
lxt	累积
lxu	轻纺产品
lxv	 
lxw	毗邻
lxx	毗
lxy	累计
lya	 
lyb	转变职能
lyc	辙
lyd	圁
lye	畩
lyf	詈
lyg	略高于
lyh	 
lyi	较少
lyj	罚
lyk	輬
lyl	较轻
lym	 
lyn	较快
lyo	 
lyp	较之
lyq	较多
lyr	较近
lys	 
lyt	较长
lyu	较差
lyv	较好
lyw	较
lyx	较强
lyy	较高
maa	典范
mab	曲子
mac	 
mad	曲
mae	 
maf	嵌
mag	屸
mah	岈
mai	岽
maj	嶱
mak	巈
mal	 
mam	崂山
man	周期性
mao	 
map	嵘
maq	曲解
mar	岖
mas	 
mat	嵌入
mau	曲靖
mav	 
maw	典
max	曲线
may	戝
mba	 
mbb	㕀
mbc	 
mbd	邮码
mbe	 
mbf	 
mbg	㞨
mbh	邮
mbi	崡
mbj	邮电
mbk	邮路
mbl	 
mbm	邮购
mbn	貤
mbo	 
mbp	邮寄
mbq	邮包
mbr	㞧
mbs	邮票
mbt	屷
mbu	邮资
mbv	 
mbw	邮件
mbx	邮编
mby	岌
mca	峅
mcb	岜
mcc	嵾
mcd	㟥
mce	 
mcf	 
mcg	峄
mch	 
mci	禸
mcj	 
mck	贻
mcl	 
mcm	峻岭
mcn	 
mco	 
mcp	 
mcq	 
mcr	 
mcs	刚柔相济
mct	 
mcu	 
mcv	 
mcw	峻
mcx	 
mcy	贻误
mda	巁
mdb	内在联系
mdc	 
mdd	岩石
mde	贿
mdf	岩
mdg	岵
mdh	酆
mdi	央
mdj	崦
mdk	 
mdl	盎
mdm	颛
mdn	岩层
mdo	炭
mdp	赈灾
mdq	鸯
mdr	屵
mds	崎
mdt	央行
mdu	岩浆
mdv	 
mdw	骨灰盒
mdx	賎
mdy	网页设计
mea	嶾
meb	骨子
mec	 
med	髓
mee	崩
mef	骨
meg	岄
meh	骳
mei	崩溃
mej	髁
mek	䯣
mel	髑
mem	骨髓
men	髎
meo	髅
mep	髋
meq	鹘
mer	屴
mes	骵
met	骼
meu	骨头
mev	骩
mew	骰
mex	嵠
mey	骸
mfa	周期
mfb	 
mfc	岐
mfd	冉
mfe	财力
mff	峙
mfg	财政
mfh	赋
mfi	财源
mfj	 
mfk	雕
mfl	周围
mfm	周岁
mfn	赎
mfo	 
mfp	财富
mfq	财贸
mfr	周年
mfs	财权
mft	财
mfu	财产
mfv	 
mfw	同志们
mfx	贱
mfy	雕刻
mga	岍
mgb	败下阵来
mgc	财政预算
mgd	同感
mge	赙
mgf	同志
mgg	同一
mgh	同步
mgi	赇
mgj	同时
mgk	同
mgl	财政困难
mgm	嶆
mgn	屿
mgo	崃
mgp	财政补贴
mgq	同名
mgr	典型的
mgs	同样
mgt	同行
mgu	峡
mgv	刚开始
mgw	同一个
mgx	邮政编码
mgy	同义
mha	帷幕
mhb	帽子
mhc	网上通缉
mhd	帱
mhe	网上办公
mhf	帏
mhg	幅
mhh	帖
mhi	帩
mhj	帽
mhk	巾
mhl	帼
mhm	巾帼
mhn	冂
mho	幞
mhp	贴补
mhq	网上银行
mhr	帕
mhs	由此可见
mht	帐
mhu	幢
mhv	㠴
mhw	帆
mhx	㠲
mhy	帐户
mia	财源茂盛
mib	 
mic	 
mid	巌
mie	峭
mif	内河运输
mig	雕梁画栋
mih	 
mii	山清水秀
mij	山洪暴发
mik	丹江口
mil	 
mim	䞆
min	峭壁
mio	 
mip	贘
miq	 
mir	 
mis	 
mit	由浅入深
miu	汖
miv	崇洋媚外
miw	嵴
mix	 
miy	 
mja	同时期
mjb	同时也说明
mjc	邮电通信
mjd	则有
mje	 
mjf	㞱
mjg	同归于尽
mjh	则
mji	雕虫小技
mjj	䞎
mjk	 
mjl	 
mjm	嵎
mjn	邮电局
mjo	邮电业
mjp	同盟军
mjq	赐
mjr	 
mjs	 
mjt	见景生情
mju	邮电部
mjv	岿
mjw	同时代
mjx	崐
mjy	 
mka	 
mkb	幅员辽阔
mkc	 
mkd	冋
mke	 
mkf	 
mkg	㞻
mkh	㞲
mki	山呼海啸
mkj	 
mkk	同呼吸
mkl	 
mkm	 
mkn	 
mko	 
mkp	迥
mkq	贶
mkr	贼喊捉贼
mks	 
mkt	 
mku	㟕
mkv	 
mkw	嶉
mkx	 
mky	 
mla	 
mlb	 
mlc	 
mld	崮
mle	 
mlf	 
mlg	周恩来
mlh	岬
mli	 
mlj	周转量
mlk	峰回路转
mll	㠥
mlm	 
mln	崽
mlo	 
mlp	 
mlq	 
mlr	崭
mls	 
mlt	 
mlu	崭新
mlv	㟺
mlw	幽默风趣
mlx	 
mly	 
mma	山东
mmb	删除
mmc	 
mmd	巾帼不让须眉
mme	山脉
mmf	峀
mmg	册
mmh	屾
mmi	山水
mmj	岀
mmk	山路
mml	 
mmm	山
mmn	删改
mmo	山庄
mmp	山寨
mmq	岘
mmr	岗
mms	山西
mmt	贁
mmu	山头
mmv	婴
mmw	岗位
mmx	刚刚结束
mmy	賏
mna	岷
mnb	岂
mnc	岂能
mnd	见怪不怪
mne	购买力
mnf	崛起
mng	赎买政策
mnh	嵋
mni	内心深处
mnj	剀
mnk	㠔
mnl	见异思迁
mnm	觊
mnn	屺
mno	岂料
mnp	 
mnq	内忧外患
mnr	嶍
mns	凯歌
mnt	刚愎自用
mnu	 
mnv	囘
mnw	凯
mnx	㞾
mny	赆
moa	同业工会
mob	 
moc	 
mod	 
moe	 
mof	赃
mog	嶪
moh	 
moi	 
moj	 
mok	 
mol	 
mom	 
mon	同床异梦
moo	赕
mop	 
moq	嶙
mor	 
mos	内燃机车
mot	赃物
mou	同类产品
mov	嵝
mow	同业公会
mox	 
moy	 
mpa	贮藏
mpb	败家子
mpc	 
mpd	迪
mpe	 
mpf	崇
mpg	贮
mph	 
mpi	䢙
mpj	崇明
mpk	辿
mpl	賱
mpm	 
mpn	 
mpo	迪庆
mpp	周密安排
mpq	䝹
mpr	崇拜
mps	 
mpt	内容简介
